SG,G,PF,SF,F,UTIL,PG,C,Date,Predicted,Actual
Jimmy Butler,Trae Young,Domantas Sabonis,Ben Simmons,Josh Richardson,Edmond Sumner,Luguentz Dort,Bruno Fernando,20191227,238.58851175464991,214.25
James Harden,Luka Doncic,Anthony Davis,Bruce Brown,Noah Vonleh,Isaiah Hartenstein,Frank Ntilikina,Anthony Tolliver,20191228,238.77990638162902,320.0
Jrue Holiday,Luka Doncic,Anthony Davis,Brandon Ingram,Ben McLemore,Isaiah Hartenstein,Chris Clemons,Harry Giles,20191229,238.62764216467025,287.75
Donovan Mitchell,Damian Lillard,Giannis Antetokounmpo,Khris Middleton,Bruce Brown,Daniel Gafford,Brandon Goodwin,Tony Bradley,20191230,238.63130904544045,276.5
Luka Doncic,James Harden,Jayson Tatum,Tobias Harris,Patrick McCaw,Kyle OQuinn,Shake Milton,Alen Smailagic,20191231,238.7672559031118,256.5
Bradley Beal,LeBron James,Giannis Antetokounmpo,Khris Middleton,Kyle Korver,Avery Bradley,Frank Ntilikina,Khem Birch,20200101,238.67482537277414,317.5
Luka Doncic,Jimmy Butler,Kawhi Leonard,DeMar DeRozan,Eric Paschall,Sekou Doumbouya,Theo Pinson,Chris Silva,20200102,238.79406254245595,252.0
James Harden,LeBron James,Anthony Davis,Marcus Morris,Garrison Mathews,Jaxson Hayes,Elie Okobo,Taj Gibson,20200103,238.76732703919177,311.75
Spencer Dinwiddie,Trae Young,Giannis Antetokounmpo,Brandon Ingram,Vince Carter,Isaac Bonga,Malik Beasley,Bruno Fernando,20200104,238.6548895949096,240.75
Devin Booker,LeBron James,Anthony Davis,Andrew Wiggins,Kentavious Caldwell-Pope,Ante Zizic,Alex Caruso,Noah Vonleh,20200105,238.6515850314522,290.0
Donovan Mitchell,Luka Doncic,Giannis Antetokounmpo,Tobias Harris,Grant Williams,Daniel Gafford,Nickeil Alexander-Walker,Harry Giles,20200106,238.65398074416933,283.5
Devin Booker,LeBron James,Anthony Davis,Buddy Hield,Tony Snell,Dewayne Dedmon,Tyler Johnson,Mike Muscala,20200107,238.68065222099193,240.25
James Harden,Luka Doncic,Brandon Ingram,PJ Tucker,Edmond Sumner,Admiral Schofield,Malik Beasley,Tony Bradley,20200108,238.83946823382607,324.25
James Harden,Ben Simmons,Kevin Love,Tobias Harris,Cedi Osman,Keita Bates-Diop,Michael Frazier,Norvel Pelle,20200109,238.77498658133018,193.0
Devin Booker,Luka Doncic,Giannis Antetokounmpo,Davis Bertans,Sterling Brown,Doug McDermott,Josh Magette,Boban Marjanovic,20200110,238.67426365357673,255.5
Zach LaVine,Luka Doncic,Giannis Antetokounmpo,Bruce Brown,Luke Kornet,Frank Jackson,Quinn Cook,Anthony Tolliver,20200111,238.67053854466803,280.5
Bradley Beal,Kyrie Irving,Pascal Siakam,Kawhi Leonard,Reggie Bullock,Grayson Allen,Elie Okobo,Tony Bradley,20200112,238.67134751566113,216.25
Zach LaVine,LeBron James,Domantas Sabonis,Ben Simmons,Evan Fournier,Jahlil Okafor,Frank Jackson,Anthony Tolliver,20200113,238.60810009720174,323.0
James Harden,Luka Doncic,John Collins,Maurice Harkless,Solomon Hill,Boban Marjanovic,Jalen Brunson,Damian Jones,20200114,238.84714702496746,249.0
James Harden,Luka Doncic,Domantas Sabonis,Tim Hardaway Jr,PJ Dozier,Quinn Cook,Brad Wanamaker,Noah Vonleh,20200115,238.82462431576346,282.5
