PG,SG,SF,PF,C,G,F,UTIL,Date,Prediction,Score
Alec Burks,Furkan Korkmaz,Grant Williams,Glenn Robinson III,LaMarcus Aldridge,Ben Simmons,Jayson Tatum,Damian Lillard,20200211,322.0,219.0
Lonzo Ball,JJ Redick,Danilo Gallinari,Nicolo Melli,Derrick Favors,Chris Paul,Zion Williamson,Kawhi Leonard,20200213,279.0,288.25
Jordan Poole,Coby White,Duncan Robinson,Jae Crowder,Marquese Chriss,Devonte Graham,Buddy Hield,Giannis Antetokounmpo,20200220,320.25,227.5
Dejounte Murray,Malik Beasley,Trevor Ariza,Jayson Tatum,Nikola Jokic,Seth Curry,JJ Redick,Chris Paul,20200221,341.25,282.5
Tomas Satoransky,Furkan Korkmaz,Jae Crowder,Giannis Antetokounmpo,DeAndre Jordan,Mike Conley,Tim Hardaway Jr,Bam Adebayo,20200222,329.75,262.25
Derrick White,Coby White,Will Barton,Thon Maker,Pascal Siakam,Dejounte Murray,TJ Warren,Kyle Lowry,20200223,314.25,213.0
Emmanuel Mudiay,DeAnthony Melton,Furkan Korkmaz,Giannis Antetokounmpo,Kristaps Porzingis,Mike Conley,Tim Hardaway Jr,Caris LeVert,20200224,301.0,190.75
Coby White,Malik Monk,Markieff Morris,Gordon Hayward,Steven Adams,Jrue Holiday,TJ Warren,Khris Middleton,20200225,313.25,231.75
Brad Wanamaker,James Harden,Troy Brown Jr,Kelan Martin,Tristan Thompson,Ricky Rubio,Aaron Gordon,Kristaps Porzingis,20200226,308.75,290.0
Shai Gilgeous-Alexander,Wayne Ellington,Juan Toscano-Anderson,Bobby Portis,Mitchell Robinson,CJ McCollum,Anthony Davis,Steven Adams,20200227,320.0,185.0
Ricky Rubio,Donovan Mitchell,Evan Fournier,Nicolo Melli,Chris Boucher,Garrett Temple,Aaron Gordon,Kristaps Porzingis,20200228,316.75,283.5
DAngelo Russell,Danny Green,Brandon Ingram,Chris Boucher,James Johnson,Damion Lee,Bradley Beal,Marquese Chriss,20200301,295.5,223.75
Goran Dragic,Coby White,Terrence Ross,Thaddeus Young,Jonas Valanciunas,Donovan Mitchell,Khris Middleton,Myles Turner,20200302,325.5,262.5
Patty Mills,Bradley Beal,OG Anunoby,Cody Zeller,Dragan Bender,Shake Milton,LeBron James,Reggie Jackson,20200303,304.0,244.0
Brandon Knight,Coby White,Terrence Ross,Kelly Olynyk,Cristiano Felicio,Lonzo Ball,Bradley Beal,CJ McCollum,20200304,315.75,287.0
Jordan Poole,Andrew Wiggins,Eric Paschall,Dragan Bender,Robert Covington,Shake Milton,OG Anunoby,Tobias Harris,20200305,303.75,229.25
Tyus Jones,Patty Mills,Kevin Huerter,Julius Randle,Kristaps Porzingis,Coby White,Terrence Ross,Lonzo Ball,20200306,325.75,272.75
Tyus Jones,Collin Sexton,Cam Reddish,Kevin Love,Marquese Chriss,Mike Conley,Andrew Wiggins,CJ McCollum,20200307,321.25,240.25
Mike Conley,Gary Harris,Norman Powell,PJ Washington,Bismack Biyombo,Terry Rozier,Pascal Siakam,Kyle Lowry,20200309,288.0,243.0
Brandon Knight,Gary Harris,Duncan Robinson,Bobby Portis,Bismack Biyombo,Luka Doncic,Tim Hardaway Jr,Christian Wood,20200311,294.0,206.25
Mike Conley,Jrue Holiday,Kyle Kuzma,Nicolo Melli,Ivica Zubac,Lonzo Ball,JaMychal Green,LeBron James,20200730,282.25,204.25
Donte DiVincenzo,Bogdan Bogdanovic,Gordon Hayward,Dario Saric,Jeff Green,Devin Booker,Caris LeVert,Ricky Rubio,20200731,323.0,246.0
Jordan Clarkson,Jrue Holiday,Kyle Kuzma,Al Horford,Myles Turner,Kyle Lowry,Duncan Robinson,Serge Ibaka,20200801,315.5,195.0
Shabazz Napier,Kent Bazemore,Dorian Finney-Smith,Gordon Hayward,Hassan Whiteside,Ricky Rubio,Bogdan Bogdanovic,James Harden,20200802,333.75,222.75
Derrick White,Dion Waiters,Kyle Kuzma,Royce ONeale,Thomas Bryant,Ja Morant,TJ Warren,LeBron James,20200803,294.5,285.25
Michael Carter-Williams,Victor Oladipo,Gordon Hayward,Cameron Johnson,Boban Marjanovic,Malcolm Brogdon,TJ Warren,Giannis Antetokounmpo,20200804,322.5,194.5
Chris Paul,Dion Waiters,Kyle Kuzma,Brandon Clarke,Joel Embiid,Derrick White,Royce ONeale,Kyle Lowry,20200805,296.5,268.75
Aaron Holiday,James Harden,Ben McLemore,Dorian Finney-Smith,Jeff Green,Luka Doncic,TJ Warren,Boban Marjanovic,20200806,318.5,271.75
Kyle Lowry,Grayson Allen,Luguentz Dort,Harry Giles,Joel Embiid,Jaylen Brown,Terrence Ross,Thomas Bryant,20200807,287.75,208.5
Eric Bledsoe,Duncan Robinson,Cameron Johnson,Royce ONeale,Brook Lopez,Mike Conley,TJ Warren,Damian Lillard,20200808,304.75,284.0
Mike Conley,Duncan Robinson,Luguentz Dort,Royce ONeale,Brook Lopez,Devin Booker,TJ Warren,Rudy Gobert,20200810,307.25,175.25
Jevon Carter,Austin Rivers,Troy Brown Jr,Cameron Johnson,Brook Lopez,Dillon Brooks,Luka Doncic,Damian Lillard,20200811,318.75,244.25
Goran Dragic,Austin Rivers,Kawhi Leonard,Jae Crowder,Ivica Zubac,PJ Dozier,Darius Bazley,James Harden,20200812,303.75,284.0
Markelle Fultz,Jevon Carter,Keldon Johnson,Dario Saric,Brook Lopez,Devin Booker,Joe Harris,Damian Lillard,20200813,301.5,272.75
Austin Rivers,Alec Burks,Tobias Harris,Chris Boucher,Meyers Leonard,Tyler Herro,Darius Bazley,James Harden,20200814,318.25,213.25
Alec Burks,Joe Harris,Norman Powell,Chris Boucher,Kristaps Porzingis,Caris LeVert,Kawhi Leonard,Jarrett Allen,20200817,330.5,237.25
Markelle Fultz,James Harden,Edmond Sumner,Doug McDermott,Darius Bazley,Goran Dragic,Jimmy Butler,Damian Lillard,20200818,331.25,269.75
Raul Neto,Caris LeVert,Joe Harris,Jayson Tatum,Ivica Zubac,PJ Dozier,Kawhi Leonard,Jarrett Allen,20200819,312.0,258.0
George Hill,James Harden,Carmelo Anthony,JaKarr Sampson,Jeff Green,Goran Dragic,Darius Bazley,Damian Lillard,20200820,307.0,169.75
Donovan Mitchell,Alec Burks,Stanley Johnson,Jayson Tatum,Boban Marjanovic,Fred VanVleet,Garrett Temple,Caris LeVert,20200821,306.0,182.5
DJ Augustin,Sterling Brown,Terrence Ross,Kyle Kuzma,Myles Turner,Goran Dragic,Anthony Davis,Nikola Vucevic,20200822,274.5,257.25
Raul Neto,Jordan Clarkson,Stanley Johnson,Marcus Morris,Joel Embiid,Fred VanVleet,Kawhi Leonard,Serge Ibaka,20200823,299.5,263.75
DJ Augustin,Wes Iwundu,LeBron James,Darius Bazley,Jeff Green,Goran Dragic,Jimmy Butler,Malcolm Brogdon,20200824,292.5,190.0
PJ Dozier,Jordan Clarkson,Marcus Morris,Patrick Patterson,Rudy Gobert,Donovan Mitchell,Tim Hardaway Jr,Kawhi Leonard,20200825,271.5,234.0
James Harden,Hamidou Diallo,Danny Green,Darius Bazley,Jeff Green,Eric Gordon,Terrence Ross,Giannis Antetokounmpo,20200829,267.5,249.0
Kemba Walker,Gary Harris,Landry Shamet,OG Anunoby,Serge Ibaka,Norman Powell,Kawhi Leonard,Jamal Murray,20200830,297.0,277.25
Frank Mason III,Kendrick Nunn,Eric Gordon,Darius Bazley,Nerlens Noel,Goran Dragic,Giannis Antetokounmpo,James Harden,20200831,279.25,214.75
Kemba Walker,Norman Powell,Georges Niang,Pascal Siakam,Daniel Theis,Jamal Murray,OG Anunoby,Serge Ibaka,20200901,285.0,210.0
Eric Bledsoe,Eric Gordon,Khris Middleton,Robert Covington,Brook Lopez,Goran Dragic,Darius Bazley,Bam Adebayo,20200902,281.25,268.5
PJ Dozier,Norman Powell,Torrey Craig,Jayson Tatum,Serge Ibaka,Jamal Murray,Landry Shamet,Kawhi Leonard,20200903,283.75,156.0
Alex Caruso,Eric Gordon,Kentavious Caldwell-Pope,Robert Covington,Dwight Howard,Goran Dragic,Khris Middleton,LeBron James,20200904,285.5,219.25
Monte Morris,Torrey Craig,OG Anunoby,Marcus Morris,Daniel Theis,Jaylen Brown,Kawhi Leonard,Kyle Lowry,20200905,259.5,205.5
Alex Caruso,Eric Gordon,LeBron James,Robert Covington,PJ Tucker,George Hill,Khris Middleton,Brook Lopez,20200906,265.75,290.75
Monte Morris,Fred VanVleet,Stanley Johnson,OG Anunoby,JaMychal Green,Kyle Lowry,Pascal Siakam,Nikola Jokic,20200907,262.75,191.25
George Hill,Alex Caruso,Robert Covington,Kelly Olynyk,PJ Tucker,Goran Dragic,Khris Middleton,LeBron James,20200908,274.5,209.5
Monte Morris,Paul George,Marcus Morris,JaMychal Green,Nikola Jokic,Kyle Lowry,Paul Millsap,OG Anunoby,20200909,246.25,201.75
Brad Wanamaker,Gary Harris,Norman Powell,JaMychal Green,Ivica Zubac,Kyle Lowry,Kawhi Leonard,Nikola Jokic,20200911,251.0,198.0
Monte Morris,Gary Harris,Jimmy Butler,Kelly Olynyk,Nikola Jokic,Patrick Beverley,Kawhi Leonard,Tyler Herro,20200915,260.5,266.75
Goran Dragic,Tyler Herro,Andre Iguodala,Kelly Olynyk,Daniel Theis,Jimmy Butler,Jae Crowder,Jayson Tatum,20200917,251.25,189.75
Alex Caruso,Jamal Murray,Kyle Kuzma,Bol Bol,Dwight Howard,Rajon Rondo,LeBron James,Nikola Jokic,20200918,261.25,185.25
Kemba Walker,Jaylen Brown,Gordon Hayward,Jae Crowder,Kelly Olynyk,Tyler Herro,Andre Iguodala,Jayson Tatum,20200919,241.75,239.75
Rajon Rondo,Torrey Craig,Kyle Kuzma,Markieff Morris,Dwight Howard,LeBron James,Anthony Davis,Jamal Murray,20200920,257.0,200.0
Alex Caruso,Jamal Murray,Danny Green,Markieff Morris,Dwight Howard,Rajon Rondo,Anthony Davis,Nikola Jokic,20200922,241.5,202.0
Marcus Smart,Duncan Robinson,Gordon Hayward,Solomon Hill,Bam Adebayo,Tyler Herro,Jae Crowder,Jaylen Brown,20200923,263.0,219.5
Monte Morris,Jamal Murray,Kentavious Caldwell-Pope,Jerami Grant,Mason Plumlee,Rajon Rondo,LeBron James,Nikola Jokic,20200924,237.0,228.75
Brad Wanamaker,Duncan Robinson,Solomon Hill,Gordon Hayward,Bam Adebayo,Tyler Herro,Jaylen Brown,Jayson Tatum,20200925,251.75,212.0
Monte Morris,Torrey Craig,Danny Green,Jerami Grant,Nikola Jokic,Kentavious Caldwell-Pope,LeBron James,Jamal Murray,20200926,243.0,244.75
Marcus Smart,Duncan Robinson,Solomon Hill,Jae Crowder,Robert Williams,Jaylen Brown,Jayson Tatum,Bam Adebayo,20200927,247.25,259.5
