PG,SG,SF,PF,C,G,F,UTIL,Date,Score,Genetic
Derrick White,Danny Green,Jabari Parker,LaMarcus Aldridge,Jarrett Allen,Patty Mills,Paul George,Anthony Davis,20191219,359.75,358.5
Alec Burks,Jamal Murray,Damion Lee,Bobby Portis,Nikola Vucevic,CJ McCollum,Jordan Clarkson,Bradley Beal,20191220,383.0,364.0
Shabazz Napier,Bradley Beal,Kevin Knox,Richaun Holmes,DeAndre Jordan,Trae Young,Garrett Temple,Hassan Whiteside,20191221,394.0,369.75
Dennis Schroder,Gary Harris,Miles Bridges,Jayson Tatum,Domantas Sabonis,Shai Gilgeous-Alexander,Will Barton,Steven Adams,20191222,381.75,364.75
DeAaron Fox,Troy Brown Jr,Tobias Harris,Jonathan Isaac,Julius Randle,Ben Simmons,Trey Lyles,LaMarcus Aldridge,20191223,417.75,373.0
Fred VanVleet,Glenn Robinson III,Kyle Kuzma,Brandon Ingram,Chris Boucher,Damion Lee,Ben Simmons,Kawhi Leonard,20191225,372.25,366.25
CJ McCollum,Donovan Mitchell,Rudy Gay,Julius Randle,Christian Wood,Chris Paul,Joe Ingles,Gorgui Dieng,20191226,355.5,358.75
Shai Gilgeous-Alexander,Allen Crabbe,Aaron Gordon,Ersan Ilyasova,Bam Adebayo,Devin Booker,Tobias Harris,DAngelo Russell,20191227,337.0,338.0
Patrick McCaw,James Harden,Kelan Martin,Noah Vonleh,Ersan Ilyasova,Luka Doncic,Jonathan Isaac,Julius Randle,20191228,411.25,383.75
Chris Clemons,ETwaun Moore,Buddy Hield,Nemanja Bjelica,Anthony Davis,Lonzo Ball,Brandon Ingram,Isaiah Hartenstein,20191229,348.5,348.0
Brandon Goodwin,Jordan McRae,Garrison Mathews,Giannis Antetokounmpo,Hassan Whiteside,Spencer Dinwiddie,Khris Middleton,Ian Mahinmi,20191230,368.75,364.5
Monte Morris,Alec Burks,Miles Bridges,Maxi Kleber,Domantas Sabonis,Kemba Walker,Gordon Hayward,Luka Doncic,20191231,354.75,345.25
Frank Ntilikina,Markelle Fultz,Kyle Kuzma,Giannis Antetokounmpo,Khem Birch,DJ Augustin,Julius Randle,LeBron James,20200101,357.75,355.5
Terry Rozier,Jeremy Lamb,JaMychal Green,Robert Covington,Wendell Carter Jr,Shai Gilgeous-Alexander,Domantas Sabonis,DeAaron Fox,20200102,365.0,338.0
Marcus Smart,Jordan McRae,Danny Green,Daniel Theis,Aron Baynes,James Harden,Ben Simmons,Clint Capela,20200103,435.5,435.5
Lonzo Ball,Troy Brown Jr,Justin Holiday,Omari Spellman,Andre Drummond,Fred VanVleet,Jae Crowder,Trae Young,20200104,409.75,399.25
Dante Exum,Devin Booker,Mikal Bridges,Meyers Leonard,Gorgui Dieng,Goran Dragic,Anthony Davis,Damian Lillard,20200105,387.25,380.25
Markelle Fultz,Terry Rozier,Trevor Ariza,TJ Warren,Steven Adams,Will Barton,Tomas Satoransky,Nikola Jokic,20200106,381.0,355.5
Jarrett Culver,Tony Snell,Trevor Ariza,Jae Crowder,Hassan Whiteside,Devin Booker,Carmelo Anthony,Andre Drummond,20200107,347.25,336.5
Terence Davis,James Harden,Kris Dunn,Khem Birch,Jaxson Hayes,Trae Young,Bobby Portis,Clint Capela,20200108,422.5,387.0
Chris Paul,Marcus Smart,Josh Richardson,Robert Covington,Al Horford,Darius Garland,Danilo Gallinari,Tristan Thompson,20200109,336.25,344.5
Spencer Dinwiddie,Sterling Brown,Khris Middleton,Kawhi Leonard,Jaxson Hayes,Patrick Beverley,DeMar DeRozan,Myles Turner,20200110,414.0,391.0
Devonte Graham,Dwayne Bacon,Joe Ingles,Julius Randle,Ian Mahinmi,DAngelo Russell,Jimmy Butler,Jonas Valanciunas,20200112,368.5,365.5
Shabazz Napier,Marcus Smart,Ben Simmons,PJ Washington,Jahlil Okafor,CJ McCollum,Nemanja Bjelica,Shai Gilgeous-Alexander,20200113,382.5,416.0
RJ Barrett,Kevin Huerter,Mikal Bridges,Julius Randle,Rudy Gobert,Kyrie Irving,Dillon Brooks,Boban Marjanovic,20200114,376.75,367.75
Kendrick Nunn,Markelle Fultz,Wes Iwundu,Mike Muscala,Domantas Sabonis,DeAaron Fox,Tobias Harris,Russell Westbrook,20200115,407.75,390.0
Malik Beasley,Donovan Mitchell,Bojan Bogdanovic,JaMychal Green,Mason Plumlee,Will Barton,Giannis Antetokounmpo,Ricky Rubio,20200116,405.0,427.0
Terence Davis,Cam Reddish,Norman Powell,TJ Warren,Marc Gasol,Damian Lillard,DeMar DeRozan,Hassan Whiteside,20200117,377.5,357.0
Langston Galloway,Gary Trent Jr,Mikal Bridges,Jayson Tatum,Rudy Gobert,Marcus Smart,Kawhi Leonard,Devin Booker,20200118,426.25,405.25
Patty Mills,Malcolm Brogdon,Jimmy Butler,Doug McDermott,Jerami Grant,DeMar DeRozan,LaMarcus Aldridge,Domantas Sabonis,20200119,302.0,326.25
Bryn Forbes,Derrick White,Eric Paschall,Giannis Antetokounmpo,Ian Mahinmi,Alec Burks,Dillon Brooks,Ben Simmons,20200120,422.5,397.25
Reggie Jackson,Dennis Schroder,Bradley Beal,Thon Maker,LaMarcus Aldridge,Lonzo Ball,John Collins,Russell Westbrook,20200122,419.25,411.0
Rajon Rondo,Gary Trent Jr,Bradley Beal,Trevor Ariza,Dwight Howard,Collin Sexton,LeBron James,Damian Lillard,20200123,358.75,356.0
Derrick White,Josh Hart,Keita Bates-Diop,TJ Warren,Kelly Olynyk,Russell Westbrook,Kawhi Leonard,Kemba Walker,20200124,400.25,387.5
