PF,SF,F,UTIL,SG,G,C,PG,Date,Predicted,Actual
Georges Niang,Solomon Hill,Luke Kennard,Joel Embiid,Paul George,Trae Young,Ivica Zubac,Tyrese Maxey,20210618,219.32057188588266,199.25
Dario Saric,Tobias Harris,Solomon Hill,Joel Embiid,Paul George,ETwaun Moore,Onyeka Okongwu,Patrick Beverley,20210620,211.33242812853825,184.75
Dario Saric,Cameron Johnson,Jae Crowder,Deandre Ayton,Paul George,Devin Booker,Ivica Zubac,Patrick Beverley,20210622,214.23643474554626,214.25
Danilo Gallinari,PJ Tucker,Bobby Portis,Giannis Antetokounmpo,Pat Connaughton,Trae Young,Clint Capela,Jeff Teague,20210623,213.18794908319376,250.75
Marcus Morris,Cameron Johnson,ETwaun Moore,Deandre Ayton,Paul George,Devin Booker,Daniel Oturu,Cameron Payne,20210624,218.7901684092295,173.25
Jordan Nwora,Pat Connaughton,PJ Tucker,Giannis Antetokounmpo,Khris Middleton,Trae Young,Bobby Portis,Bryn Forbes,20210625,220.4722305307604,183.25
Cameron Johnson,Marcus Morris,Nicolas Batum,Deandre Ayton,Paul George,Devin Booker,Ivica Zubac,Patrick Beverley,20210626,218.65381090221456,223.0
Thanasis Antetokounmpo,Solomon Hill,Danilo Gallinari,Giannis Antetokounmpo,Khris Middleton,Trae Young,Onyeka Okongwu,Bryn Forbes,20210627,221.03823451549388,211.25
Abdel Nader,Nicolas Batum,Mikal Bridges,Deandre Ayton,Paul George,Devin Booker,Dario Saric,Cameron Payne,20210628,219.32473459297415,199.0
Nathan Knight,Kris Dunn,Mamadi Diakite,Giannis Antetokounmpo,Khris Middleton,Jrue Holiday,Clint Capela,Jeff Teague,20210629,220.2915041956819,144.5
Jae Crowder,ETwaun Moore,Mikal Bridges,Torrey Craig,Paul George,Devin Booker,Daniel Oturu,Chris Paul,20210630,217.4390626307303,210.0
Nathan Knight,Kevin Huerter,Bobby Portis,John Collins,Khris Middleton,Jrue Holiday,Clint Capela,Kris Dunn,20210701,220.49036669833728,251.25
