PF,SF,F,UTIL,SG,G,C,PG,Date,Predicted,Actual
Goga Bitadze,Luka Doncic,Vlatko Cancar,Marvin Williams,James Harden,Shaquille Harrison,Trey Lyles,Patrick McCaw,20200115,206.63001730825903,154.5
Giannis Antetokounmpo,Kawhi Leonard,Patrick Patterson,Nikola Jokic,Jevon Carter,Landry Shamet,Gary Clark,Terance Mann,20200116,226.07054646769336,220.25
Nassir Little,Malcolm Miller,Mario Hezonja,Karl-Anthony Towns,Zach LaVine,Luka Doncic,Bruno Fernando,Matthew Dellavedova,20200117,223.85502574952542,156.0
Semi Ojeleye,LeBron James,Vince Carter,Andre Drummond,James Harden,Matt Thomas,Tyson Chandler,Nickeil Alexander-Walker,20200118,226.16842369312306,193.75
Juwan Morgan,Georges Niang,Giannis Antetokounmpo,Chandler Hutchison,James Harden,Russell Westbrook,Cheick Diallo,Tim Frazier,20200120,225.7980672977659,249.25
JaKarr Sampson,LeBron James,Vlatko Cancar,Juwan Morgan,James Harden,Russell Westbrook,Harry Giles,Patrick McCaw,20200122,225.84848625907588,188.0
Johnathan Williams,LeBron James,Jared Dudley,Hassan Whiteside,Matthew Dellavedova,Luka Doncic,John Henson,Isaiah Thomas,20200123,224.99477100677046,205.25
Keita Bates-Diop,Kawhi Leonard,Vince Carter,Tim Frazier,James Harden,Russell Westbrook,Khem Birch,Grayson Allen,20200124,226.04006386493023,226.0
Darius Bazley,LeBron James,Deonte Burton,Karl-Anthony Towns,Zach LaVine,Avery Bradley,Jonah Bolden,Darius Garland,20200125,225.01168366602332,249.25
Thabo Sefolosha,Kawhi Leonard,Vince Carter,Russell Westbrook,Gary Harris,Damian Lillard,Johnathan Motley,Terance Mann,20200126,225.46386989684157,252.75
Vic Law,Wes Iwundu,Thabo Sefolosha,Andre Drummond,Zach LaVine,Luka Doncic,Khem Birch,Austin Rivers,20200127,225.39476843890822,209.25
Justin Jackson,Ben Simmons,Stanley Johnson,Joel Embiid,Tyler Johnson,Luka Doncic,Robin Lopez,Frank Ntilikina,20200128,225.36039826634064,145.25
Josh Jackson,Marco Belinelli,Justin James,Russell Westbrook,James Harden,Damian Lillard,Caleb Swanigan,Garrett Temple,20200129,225.37551083649043,220.5
Anthony Tolliver,PJ Dozier,Patrick Patterson,Nikola Jokic,Bradley Beal,Trae Young,Harry Giles,Darius Garland,20200130,225.05470169784775,256.75
Thanasis Antetokounmpo,Sterling Brown,Giannis Antetokounmpo,Anthony Davis,James Harden,Pat Connaughton,Nicolo Melli,Tyus Jones,20200131,225.76278698184083,311.5
