PG,SG,SF,PF,C,G,F,UTIL,Date,Salary,FPTS
Shai Gilgeous-Alexander,Coby White,Danny Green,Jerami Grant,Marquese Chriss,CJ McCollum,Giannis Antetokounmpo,Alex Caruso,20200225,49500,355.75
Donovan Mitchell,Austin Rivers,Evan Fournier,Jayson Tatum,Bismack Biyombo,Caris LeVert,Marcus Morris,DeMar DeRozan,20200226,48300,366.5
Cory Joseph,CJ McCollum,Gary Trent Jr,Tobias Harris,Al Horford,Shake Milton,Julius Randle,Elfrid Payton,20200227,48400,338.75
Spencer Dinwiddie,Brandon Knight,OG Anunoby,John Collins,Kristaps Porzingis,Terrence Ross,Nemanja Bjelica,Cam Reddish,20200228,48400,355.0
Spencer Dinwiddie,Damion Lee,Kevin Huerter,Kevin Love,Andre Drummond,Ja Morant,Rudy Gay,Bam Adebayo,20200229,49900,385.0
Lonzo Ball,Norman Powell,Furkan Korkmaz,OG Anunoby,Kristaps Porzingis,Shake Milton,Mike Scott,LeBron James,20200301,50000,399.0
Tyus Jones,CJ McCollum,Bojan Bogdanovic,Dorian Finney-Smith,Nikola Vucevic,Collin Sexton,Robert Covington,RJ Barrett,20200302,48700,371.0
Dejounte Murray,Caris LeVert,Glenn Robinson III,Chris Boucher,Anthony Davis,Lonzo Ball,Andrew Wiggins,Paul Millsap,20200303,48500,392.5
Dennis Schroder,Brandon Knight,Shai Gilgeous-Alexander,Jayson Tatum,Naz Reid,Collin Sexton,Duncan Robinson,Goran Dragic,20200304,49300,352.5
Russell Westbrook,Gary Harris,Tobias Harris,PJ Washington,Jeff Green,Kyle Lowry,Mike Scott,Norman Powell,20200305,49800,329.25
LeBron James,Duncan Robinson,Andre Iguodala,Giannis Antetokounmpo,Aron Baynes,Elfrid Payton,Caris LeVert,Shaquille Harrison,20200306,49700,412.25
Ja Morant,Collin Sexton,Will Barton,Al Horford,Jonas Valanciunas,Bogdan Bogdanovic,Buddy Hield,Bojan Bogdanovic,20200307,49500,362.75
Kyle Lowry,Shabazz Napier,Mikal Bridges,Gordon Hayward,DeAndre Jordan,Ricky Rubio,Norman Powell,Eric Bledsoe,20200308,49500,402.25
Devonte Graham,Terry Rozier,Caleb Martin,Paul Millsap,Serge Ibaka,Kyle Lowry,Joe Ingles,Pascal Siakam,20200309,48900,380.0
Frank Ntilikina,Victor Oladipo,Marco Belinelli,Dragan Bender,Jonas Valanciunas,Luka Doncic,Gordon Hayward,Trey Lyles,20200310,46800,357.5
Elfrid Payton,RJ Barrett,Will Barton,Al Horford,Julius Randle,Caleb Martin,Christian Wood,Boban Marjanovic,20200311,48500,387.0
Alex Caruso,Donovan Mitchell,Kawhi Leonard,Kyle Kuzma,Anthony Davis,JJ Redick,Paul George,Jordan Clarkson,20200730,49400,299.75
Derrick White,James Harden,DeMar DeRozan,Robert Covington,Jeff Green,DeAaron Fox,Brandon Clarke,Kent Bazemore,20200731,50000,368.25
TJ McConnell,Fred VanVleet,TJ Warren,Kelly Olynyk,Joel Embiid,Aaron Holiday,Tobias Harris,Kyle Lowry,20200801,47600,405.25
