PG,SG,SF,PF,C,G,F,UTIL,Date,Score,Genetic
Dennis Schroder,Joe Harris,Nicolas Batum,Montrezl Harrell,James Wiseman,Stephen Curry,Caris LeVert,Paul George,20201222,295.0,294.75
Darius Garland,Terry Rozier,Jaylen Brown,Harrison Barnes,Domantas Sabonis,Dejounte Murray,Khris Middleton,Ja Morant,20201223,423.5,391.25
Goran Dragic,Duncan Robinson,Nicolas Batum,Bobby Portis,Zion Williamson,Jaylen Brown,Khris Middleton,Kyrie Irving,20201225,349.25,341.25
George Hill,James Harden,Terrence Ross,PJ Washington,Christian Wood,Darius Garland,Chris Boucher,Andre Drummond,20201226,407.5,378.25
Elfrid Payton,Raul Neto,Gordon Hayward,Brandon Ingram,Marc Gasol,Stephen Curry,Julius Randle,Wendell Carter Jr,20201227,389.0,384.25
Mike Conley,CJ McCollum,Gary Trent Jr,Jerami Grant,Nikola Jokic,Dillon Brooks,Josh Jackson,Kyle Anderson,20201228,375.0,370.5
Jrue Holiday,Andrew Wiggins,OG Anunoby,Tobias Harris,Andre Drummond,Monte Morris,Julius Randle,Isaiah Roby,20201229,391.5,358.0
LaMelo Ball,Tyler Herro,Miles Bridges,Giannis Antetokounmpo,Bam Adebayo,Dejounte Murray,Jaylen Brown,Gorgui Dieng,20201230,398.5,396.0
Lonzo Ball,Fred VanVleet,Harrison Barnes,Thaddeus Young,Daniel Gafford,Russell Westbrook,Domantas Sabonis,Richaun Holmes,20201231,345.25,332.5
Mike Conley,Keldon Johnson,Saddiq Bey,Kyle Anderson,Derrick Favors,Paul George,DeMar DeRozan,Kawhi Leonard,20210101,378.0,352.25
Eric Bledsoe,Fred VanVleet,Darius Bazley,Gordon Hayward,JaVale McGee,Malcolm Brogdon,Tobias Harris,Clint Capela,20210102,381.0,378.0
Kyrie Irving,Zach LaVine,Royce ONeale,Jarrett Culver,Thomas Bryant,Jalen Brunson,Bojan Bogdanovic,Stephen Curry,20210103,395.25,375.5
Payton Pritchard,Fred VanVleet,Cedi Osman,Julius Randle,Robert Williams,Luka Doncic,RJ Barrett,Khem Birch,20210104,393.0,363.0
Patty Mills,DAngelo Russell,Nicolas Batum,Jarred Vanderbilt,Jarrett Allen,Patrick Beverley,Anthony Davis,Nikola Jokic,20210105,396.75,395.5
Austin Rivers,Tyrese Haliburton,Danny Green,Saddiq Bey,Joel Embiid,Coby White,Gordon Hayward,Bradley Beal,20210106,415.0,399.75
Shake Milton,Anthony Edwards,Joe Harris,Dorian Finney-Smith,Jarred Vanderbilt,Damian Lillard,Caris LeVert,Luka Doncic,20210107,380.5,360.5
Donovan Mitchell,Zach LaVine,Hamidou Diallo,Royce ONeale,Chris Boucher,Terence Davis,Caris LeVert,Stephen Curry,20210108,403.75,376.5
Trey Burke,Tim Hardaway Jr,Deni Avdija,Bobby Portis,Domantas Sabonis,LaMelo Ball,Jimmy Butler,Andre Drummond,20210109,415.25,400.75
Mike Conley,Garrett Temple,Talen Horton-Tucker,Kevin Durant,Draymond Green,Shai Gilgeous-Alexander,Hamidou Diallo,Zach LaVine,20210110,371.5,346.0
Brandon Goodwin,CJ McCollum,Kevin Knox,Carmelo Anthony,Richaun Holmes,Bradley Beal,Harrison Barnes,Pascal Siakam,20210111,366.25,349.75
Gabe Vincent,Aaron Holiday,Andrew Wiggins,Precious Achiuwa,Myles Turner,Tyler Herro,Kevin Durant,Nikola Jokic,20210112,399.0,372.75
Nickeil Alexander-Walker,Gary Trent Jr,Grayson Allen,PJ Washington,Jonas Valanciunas,Damian Lillard,Buddy Hield,Luka Doncic,20210113,401.25,370.0
TJ McConnell,Shake Milton,Sterling Brown,JaeSean Tate,Christian Wood,Stephen Curry,Chris Boucher,Nikola Jokic,20210114,385.25,366.75
Terance Mann,Zach LaVine,Isaac Okoro,Cedi Osman,Andre Drummond,Luka Doncic,Luke Kennard,Immanuel Quickley,20210115,364.25,350.25
Shake Milton,Mason Jones,Norman Powell,PJ Washington,Jakob Poeltl,James Harden,Jerami Grant,Nikola Vucevic,20210116,399.0,389.5
Immanuel Quickley,Garrett Temple,Edmond Sumner,Marcus Morris,Nikola Jokic,DeAaron Fox,PJ Dozier,Luka Doncic,20210117,391.75,361.25
Kendrick Nunn,Wayne Ellington,Kevin Huerter,Chris Boucher,DeAndre Jordan,DAngelo Russell,Anthony Davis,Clint Capela,20210118,365.5,336.0
Monte Morris,Joe Ingles,Luguentz Dort,Isaiah Roby,Rudy Gobert,Donovan Mitchell,Paul Millsap,Nikola Jokic,20210119,306.0,298.0
Terence Davis,Kendrick Nunn,Andre Iguodala,Jaden McDaniels,Deandre Ayton,Kyrie Irving,Kevin Durant,Joel Embiid,20210120,391.5,356.5
Mike Conley,Kentavious Caldwell-Pope,Kent Bazemore,Julius Randle,Nerlens Noel,Jrue Holiday,LeBron James,Donovan Mitchell,20210121,332.0,327.25
Rajon Rondo,Evan Fournier,David Nwaba,LaMarcus Aldridge,DeMarcus Cousins,Luka Doncic,Jaylen Brown,Clint Capela,20210122,384.25,345.0
Eric Bledsoe,Wayne Ellington,Eric Gordon,Jarred Vanderbilt,DeMarcus Cousins,Jamal Murray,Anthony Davis,Bam Adebayo,20210123,371.25,341.5
Immanuel Quickley,Justin Holiday,Miles Bridges,DeAndre Hunter,Myles Turner,Damian Lillard,OG Anunoby,Gordon Hayward,20210124,379.75,354.5
Anfernee Simons,Delon Wright,Jeremy Lamb,Thaddeus Young,Mike Muscala,Malcolm Brogdon,LeBron James,Luka Doncic,20210125,423.25,387.75
Reggie Jackson,Austin Rivers,David Nwaba,Royce ONeale,DeMarcus Cousins,Trae Young,DeAndre Hunter,Rudy Gobert,20210126,337.25,330.75
Jordan Clarkson,Joe Ingles,Norman Powell,Taurean Prince,Al Horford,James Harden,Buddy Hield,Rudy Gobert,20210127,404.75,381.75
