6,7,5,4,3,2,1,0,Date,FPTS
Marcus Smart,Daniel Theis,Jaylen Brown,Tyler Herro,Duncan Robinson,Andre Iguodala,Jayson Tatum,Solomon Hill,20200925,245.75
Nikola Jokic,Jamal Murray,Anthony Davis,Dwight Howard,Jerami Grant,Monte Morris,Danny Green,PJ Dozier,20200926,231.25
Jimmy Butler,Marcus Smart,Jaylen Brown,Duncan Robinson,Bam Adebayo,Andre Iguodala,Solomon Hill,Grant Williams,20200927,245.25
Paul George,Montrezl Harrell,Caris LeVert,Dennis Schroder,Stephen Curry,Joe Harris,Nicolas Batum,Reggie Perry,20201222,270.5
Luguentz Dort,Donovan Mitchell,Jordan Clarkson,Zion Williamson,Paul Millsap,Joe Ingles,Isaiah Roby,Isaiah Hartenstein,20210119,271.5
Rudy Gobert,DeAndre Hunter,DeMarcus Cousins,Trae Young,Reggie Jackson,David Nwaba,Royce ONeale,Brandon Goodwin,20210126,319.25
Jimmy Butler,Norman Powell,Nemanja Bjelica,Tyler Herro,James Harden,DaQuan Jeffries,Giannis Antetokounmpo,Andre Iguodala,20210218,318.5
Jonas Valanciunas,Rudy Gay,DeMar DeRozan,Kristaps Porzingis,Deni Avdija,Desmond Bane,Justise Winslow,Troy Brown Jr,20210310,300.75
Pascal Siakam,Kyle Kuzma,Robert Covington,CJ McCollum,Damian Lillard,Dennis Schroder,Dwayne Bacon,Onyeka Okongwu,20210328,314.25
Terry Rozier,Bradley Beal,Goga Bitadze,Oshae Brissett,Jayson Tatum,Domantas Sabonis,Kemba Walker,Grant Riller,20210518,338.5
,,,,,,,,20210519,#NAME?
Duncan Robinson,Kevin Durant,Robert Williams,Luka Doncic,Damian Lillard,Kawhi Leonard,Goran Dragic,Dewayne Dedmon,20210522,350.75
Jrue Holiday,Aaron Gordon,Dewayne Dedmon,Damian Lillard,Facundo Campazzo,Paul Millsap,Giannis Antetokounmpo,Jordan Nwora,20210524,310.75
